id,value
Midwest.Chicago,5.91
Midwest.Detroit,5.95
Midwest.Minneapolis,2.52
Midwest.Saint Louis,1.95
Midwest.Cincinnati,1.80
Midwest.Kansas City,2.08
Midwest.Columbus,2.04
Midwest.Cleveland,1.43
Northeast.New York,4.55
Northeast.Philadelphia,3.09
Special Northeast.Boston,6.00
Northeast.Pittsburgh,1.85
South.Dallas,2.11
South.Houston,1.44
South.Washington DC,5.02
South.Miami,3.55
South.Atlanta,5.65
South.Tampa,2.44
South.Baltimore,4.29
South.Orlando,2.19
South.Charlotte,1.68
South.San Antonio,1.29
South.Austin,5.66
West.Los Angeles,21.17
West.San Diego,15.71
West.San Francisco,29.11
West.Phoenix,3.83
West.Riverside,7.83
West.Seattle,10.51
West.Denver,5.41
West.Portland,11.00
West.Sacramento,10.40
West.Las Vegas,2.80
